  Row   Col.  Seas.  Beg.    End.   Length   Base   Mid-x   Max.    Amp.    L-der.  R-der.  L-integ.  S-integ. 
   71     1     1    12.4    42.7    30.3  2285.3    26.8  9703.4  7418.1  1161.7  -534.1  201042.1  127912.6 
   71     1     2    57.3    87.8    30.5  1900.3    71.0  9271.4  7371.2  1395.0  -491.0  197526.0  136717.2 
   71     1     3   103.7   135.3    31.5  2117.0   115.9  9752.7  7635.8  1774.2   627.8  213749.7  141773.3 
   72     1     1     7.4    42.7    35.3  2255.9    26.9  9614.0  7358.1  1117.1  -523.5  218768.7  135299.5 
   72     1     2    57.2    87.8    30.6  1861.6    70.9  9270.9  7409.3  1369.0   768.5  199136.7  139563.9 
   72     1     3   103.5   135.6    32.1  2087.8   116.3  9577.9  7490.1  1729.2   701.8  215128.1  144144.0 
   73     1     1     7.7    42.6    34.9  2220.9    26.9  9614.8  7394.0  1040.8  1020.6  217661.7  135489.8 
   73     1     2    56.7    87.8    31.1  1843.1    71.1  9157.7  7314.6  1247.2   815.9  199996.1  139175.2 
   73     1     3   103.0   136.0    33.0  2105.1   116.3  9412.6  7307.5  1546.5   667.8  220702.2  147023.9 
   74     1     1     3.9    46.5    42.6  3564.2    26.7  6790.5  3226.3   673.8   190.3  234045.3   73657.9 
   74     1     2    53.9    94.4    40.5  2977.8    68.9  6429.1  3451.3   648.0   177.6  221388.3   93341.2 
   74     1     3   100.1   140.9    40.8  3212.6   122.0  6436.1  3223.5   245.2   363.5  236640.4  101710.5 
   75     1     1     4.1    46.5    42.4  3538.6    25.9  6909.0  3370.4   121.3   191.2  236230.6   80532.0 
   75     1     2    54.2    94.0    39.8  2942.6    69.0  6501.8  3559.2   671.8   191.9  217865.4   97219.0 
   75     1     3   100.3   141.0    40.8  3097.8   122.7  6779.3  3681.5   245.0   421.4  241774.1  108568.5 
   76     1     1     4.3    46.6    42.3  3322.0    24.4  6982.1  3660.1   140.7   167.5  238548.5   92379.2 
   76     1     2    53.6    91.8    38.2  2896.8    73.0  6803.3  3906.5   199.4   214.1  218088.7  102217.7 
   76     1     3   100.7   141.7    40.9  2946.4   119.5  7030.7  4084.3   697.4   396.6  250831.2  124138.1 
   77     1     1     4.2    47.0    42.8  3253.3    25.3  6984.0  3730.7   161.0   218.4  248871.0  102473.3 
   77     1     2    54.0    91.8    37.8  2731.0    71.7  8148.2  5417.2   254.2   227.6  223519.1  114279.8 
   77     1     3   100.6   140.7    40.1  2780.1   121.3  8110.4  5330.2   353.4   437.5  262318.7  145552.5 
   78     1     1     5.2    41.5    36.2  2359.1    23.9  9397.1  7037.9   482.0   708.8  228917.5  139269.9 
   78     1     2    53.9    90.5    36.5  2326.6    68.9  9590.2  7263.6   439.7  1500.0  231298.0  140562.1 
   78     1     3   103.4   138.5    35.1  2146.0   120.1  9337.9  7191.9  1073.0   667.3  231263.4  151861.5 
   79     1     1     5.9    41.9    36.0  2327.2    23.9  9340.2  7013.0   549.6   759.4  227226.6  138793.4 
   79     1     2    54.0    90.5    36.5  2308.4    68.8  9545.8  7237.4   459.0  1355.0  230811.4  140783.0 
